3135605;Jequitaí;0,448
3135704;Jequitibá;0,559
3135803;Jequitinhonha;0,637
3135902;Jesuânia;0,594
3136009;Joaíma;0,548
3136108;Joanésia;0,416
3136207;João Monlevade;0,653
3136306;João Pinheiro;0,604
3136405;Joaquim Felício;0,554
3136504;Jordânia;0,567
3136520;José Gonçalves de Minas;0,620
3136579;Josenópolis;0,495
3136553;José Raydan;0,551
3136652;Juatuba;0,529
3136702;Juiz de Fora;0,685
3136801;Juramento;0,631
3136900;Juruaia;0,609
3136959;Juvenília;0,468
3137007;Ladainha;0,558
3137106;Lagamar;0,687
3137205;Lagoa da Prata;0,685
3137304;Lagoa dos Patos;0,531
3137403;Lagoa Dourada;0,655
3137502;Lagoa Formosa;0,691
3137536;Lagoa Grande;0,616
3137601;Lagoa Santa;0,665
3137700;Lajinha;0,552
3137809;Lambari;0,623
3137908;Lamim;0,611
3138005;Laranjal;0,573
3138104;Lassance;0,520
3138203;Lavras;0,732
3138302;Leandro ferreira;0,536
3138351;Leme do Prado;0,696
3138401;Leopoldina;0,669
3138500;Liberdade;0,587
3138609;Lima Duarte;0,667
3138625;Limeira do Oeste;0,625
3138658;Lontra;0,576
3138674;Luisburgo;0,635
3138682;Luislândia;0,556
3138708;Luminárias;0,560
3138807;Luz;0,665
3139003;Machado;0,661
